version,nominal_architecture_generation,model_architecture_or_method,input_representation,noise_or_data_scope,code_distance_rounds,logical_error_accuracy_gain_metrics,basis_domain_scope,shots,latency_us,coverage_ci,measured_metric_keywords,script_paths_local,evidence_status,recommended_next_improvement,priority,v12_relation,standard_benchmark_comparison,source_audit,method,data,metrics,status,reason,script,wolffe,registry_source,paper_archive_root,github_staging_root,data_provenance,verification_status,promotion_decision,recording_note
V1,G1_MLP_CNN_legacy,BP-OSD; MWPM/PyMatching; neural/ML; graph/DEM; calibration/drift; ensemble/consensus; postselection/gate; geometry/FAISS,soft/LLR or analog; hard syndrome; calibration/backend metadata,IBM real shots; phenomenological/Stim; correlated/drift; domain/held-out,unavailable,1.2180 pp; 0.8383 pp,unavailable,unavailable,unavailable,unavailable,unavailable,C:\Users\22228049\.codex\qec_work\audit_versions_v1_v125.py;C:\Users\22228049\.codex\qec_work\build_qec_run_matrix_v1_v251.py;C:\Users\22228049\.codex\qec_work\build_version_audit_v1_v251.py; C:\Users\22228049\.codex\qec_work\audit_versions_v1_v125.py; C:\Users\22228049\.codex\qec_work\build_qec_run_matrix_v1_v251.py; C:\Users\22228049\.codex\qec_work\build_version_audit_v1_v251.py,"Treat as the pre-versioned foundation, not as a uniquely reconstructable V1 checkpoint.",Re-run with paired exact-MWPM and per-basis held-out confidence intervals.,normal,not a V12 comparison,MWPM/BP-OSD comparator only when explicitly present; no claim if unavailable,early audit; Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717\PUBLIC_GITHUB_SNAPSHOT_V1_V144_20260724;Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717\PUBLIC_GITHUB_SNAPSHOT_V1_V145_20260724,,,,,,,,QEC_RUN_MATRIX_V1_V392_20260731.csv,Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717,C:\Users\22228049\.codex\github_publish\hardware-adaptive-qec-ibm,IBM real shots; phenomenological/Stim; correlated/drift; domain/held-out,audit or unavailable,promoted,Version V1 retained with original matrix fields; no missing fields were inferred.
V2,G1_MLP_CNN_legacy,MWPM/PyMatching; graph/DEM; calibration/drift; ensemble/consensus; postselection/gate; geometry/FAISS,soft/LLR or analog; hard syndrome; calibration/backend metadata,IBM real shots; correlated/drift; domain/held-out,unavailable,+0.4750 pp; 0.1531 pp,"int(self.a[""domain_id""][i]); nn.Embedding(2; int(key[0])",unavailable,unavailable,unavailable,unavailable,C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_harmony_spacetime_v2_20260715\evaluate_frozen_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_harmony_spacetime_v2_20260715\freeze_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_harmony_spacetime_v2_20260715\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_label_audit_20260726\v207_code\prepare_harmony_v2_evaluation_data.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_label_audit_20260726\v207_code\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v12_wildcard_20260717\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v20_20260718\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v21_20260718\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v22_20260718\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v25_crossbackend_fez_20260718\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v28_crossbackend_marrakesh_20260718\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v29_v12_20260718\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v38_confirmation_20260718\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v40_20260718\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v68_confirmation_20260720\train_harmony_spacetime_v2.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\rq1\tools\supercop_v2_enrichment.py,Rejected as a transferable final decoder; calibration-block transfer failed.,Add calibration-day/domain holdout before any temporal-gain claim.,normal,not a V12 comparison,MWPM/BP-OSD comparator only when explicitly present; no claim if unavailable,early audit; Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717\143_RETRO_HARMONY_SPACETIME_V2_AUDIT_20260729,,,,,,,,QEC_RUN_MATRIX_V1_V392_20260731.csv,Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717,C:\Users\22228049\.codex\github_publish\hardware-adaptive-qec-ibm,IBM real shots; correlated/drift; domain/held-out,measured artifact,rejected,Version V2 retained with original matrix fields; no missing fields were inferred.
V3,G1_MLP_CNN_legacy,MWPM/PyMatching; graph/DEM; calibration/drift; ensemble/consensus; geometry/FAISS,soft/LLR or analog; hard syndrome; calibration/backend metadata,IBM real shots; domain/held-out,20260715/; 0/,+0.3281 pp; 1.9688 pp,"int(self.a[""domain_id""][i]); nn.Embedding(2",unavailable,unavailable,unavailable,unavailable,C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\evaluate_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\evaluate_new_shift_guarded_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_label_audit_20260726\v207_code\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v12_wildcard_20260717\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v20_20260718\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v21_20260718\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v22_20260718\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v25_crossbackend_fez_20260718\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v28_crossbackend_marrakesh_20260718\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v29_v12_20260718\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v38_confirmation_20260718\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v40_20260718\train_crossblock_v3.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v68_confirmation_20260720\train_crossblock_v3.py,Confirmed but superseded by stronger guarded relational families.,Freeze the shift guard and require non-regression in every X/Z cohort.,normal,not a V12 comparison,MWPM/BP-OSD comparator only when explicitly present; no claim if unavailable,early audit; ,,,,,,,,QEC_RUN_MATRIX_V1_V392_20260731.csv,Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717,C:\Users\22228049\.codex\github_publish\hardware-adaptive-qec-ibm,IBM real shots; domain/held-out,audit or unavailable,promoted,Version V3 retained with original matrix fields; no missing fields were inferred.
V4,G1_MLP_CNN_legacy,MWPM/PyMatching; graph/DEM; calibration/drift; ensemble/consensus; postselection/gate,hard syndrome; calibration/backend metadata,IBM real shots; domain/held-out,20260716/,+1.7396 pp; +0.6505 pp,unavailable,unavailable,unavailable,unavailable,unavailable,C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\evaluate_safe_multiexpert_v4.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\freeze_safe_multiexpert_v4.py,Confirmed selective decoder; useful evidence that guarded multi-expert residual decoding can transfer.,Retest accepted multi-expert residual only on a new untouched IBM block.,normal,not a V12 comparison,MWPM/BP-OSD comparator only when explicitly present; no claim if unavailable,early audit; Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717\primary_v4_artifacts,,,,,,,,QEC_RUN_MATRIX_V1_V392_20260731.csv,Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717,C:\Users\22228049\.codex\github_publish\hardware-adaptive-qec-ibm,IBM real shots; domain/held-out,audit or unavailable,promoted,Version V4 retained with original matrix fields; no missing fields were inferred.
V5,G1_MLP_CNN_legacy,MWPM/PyMatching; graph/DEM; calibration/drift; ensemble/consensus; geometry/FAISS,soft/LLR or analog; hard syndrome; calibration/backend metadata,IBM real shots; correlated/drift; domain/held-out,20260717/,+1.5167 pp; 0.0000 pp,nn.Embedding(2,unavailable,unavailable,unavailable,unavailable,C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\evaluate_snapshot_relationship_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\train_snapshot_relationship_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\v9_eval_root\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_label_audit_20260726\v207_code\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_label_audit_20260726\v207_code\train_snapshot_relationship_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v12_wildcard_20260717\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v20_20260718\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v21_20260718\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v22_20260718\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v25_crossbackend_fez_20260718\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v28_crossbackend_marrakesh_20260718\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v29_v12_20260718\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v38_confirmation_20260718\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v40_20260718\train_snapshot_relationship_rendered3d_v5.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v68_confirmation_20260720\train_snapshot_relationship_rendered3d_v5.py,Safe null on confirmation; relationship representation was promising but domain shift prevented intervention.,Use domain-balanced training plus frozen no-intervention fallback.,normal,not a V12 comparison,MWPM/BP-OSD comparator only when explicitly present; no claim if unavailable,early audit; ,,,,,,,,QEC_RUN_MATRIX_V1_V392_20260731.csv,Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717,C:\Users\22228049\.codex\github_publish\hardware-adaptive-qec-ibm,IBM real shots; correlated/drift; domain/held-out,audit or unavailable,promoted,Version V5 retained with original matrix fields; no missing fields were inferred.
V6,G1_MLP_CNN_legacy,MWPM/PyMatching,unavailable,unavailable,unavailable,+1.5906 pp; +0.0740 pp,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Not frozen or submitted; extra complexity did not establish incremental value.,Remove redundant local/global features; test a paired residual ablation.,normal,not a V12 comparison,MWPM/BP-OSD comparator only when explicitly present; no claim if unavailable,early audit; ,,,,,,,,QEC_RUN_MATRIX_V1_V392_20260731.csv,Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717,C:\Users\22228049\.codex\github_publish\hardware-adaptive-qec-ibm,unavailable,audit or unavailable,promoted,Version V6 retained with original matrix fields; no missing fields were inferred.
V7,G1_MLP_CNN_legacy,MWPM/PyMatching,unavailable,unavailable,unavailable,+1.7313 pp,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Promising development component, later incorporated into V9/V10 rather than deployed alone.",Keep all-pair features only inside a conservative V12-style gate.,normal,not a V12 comparison,MWPM/BP-OSD comparator only when explicitly present; no claim if unavailable,early audit; ,,,,,,,,QEC_RUN_MATRIX_V1_V392_20260731.csv,Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717,C:\Users\22228049\.codex\github_publish\hardware-adaptive-qec-ibm,unavailable,audit or unavailable,promoted,Version V7 retained with original matrix fields; no missing fields were inferred.
V8,G1_MLP_CNN_legacy,MWPM/PyMatching; graph/DEM; postselection/gate; geometry/FAISS,soft/LLR or analog; hard syndrome,IBM real shots; phenomenological/Stim,unavailable,+1.7443 pp,unavailable,unavailable,unavailable,unavailable,latency: 95,C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\rq1\tools\augment_v8_metrics.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\rq1\tools\create_v8_code_explanation_docs.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\rq1\tools\create_v8_full_code_understanding_docx.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\rq1\tools\create_v8_summary_docx.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\rq1\tools\create_v8_word_report.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\v8_new\tools\augment_v8_metrics.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\v8_new\tools\create_v8_code_explanation_docs.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\v8_new\tools\create_v8_full_code_understanding_docx.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\v8_new\tools\create_v8_summary_docx.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\v8_new\tools\create_v8_word_report.py,Used as the medium-shift branch of V9; later transfer showed the guard was insufficient.,"Calibrate the medium-shift branch on held domains, not development data.",normal,not a V12 comparison,MWPM/BP-OSD comparator only when explicitly present; no claim if unavailable,early audit; ,,,,,,,,QEC_RUN_MATRIX_V1_V392_20260731.csv,Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717,C:\Users\22228049\.codex\github_publish\hardware-adaptive-qec-ibm,IBM real shots; phenomenological/Stim,audit or unavailable,promoted,Version V8 retained with original matrix fields; no missing fields were inferred.
V9,G1_MLP_CNN_legacy,MWPM/PyMatching; graph/DEM; calibration/drift; ensemble/consensus; postselection/gate; geometry/FAISS,soft/LLR or analog; hard syndrome; calibration/backend metadata,IBM real shots; correlated/drift; domain/held-out,20260717/,+1.8125 pp; 0.6493 pp,nn.Embedding(2,unavailable,unavailable,unavailable,unavailable,C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\evaluate_relational_ensemble_v9.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\v9_frozen_source.py,Rejected. This failure motivated multi-day domain training and stricter fallback.,Do not repeat unconstrained ensemble; use domain-sign-safe routing.,normal,not a V12 comparison,MWPM/BP-OSD comparator only when explicitly present; no claim if unavailable,early audit; ,,,,,,,,QEC_RUN_MATRIX_V1_V392_20260731.csv,Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717,C:\Users\22228049\.codex\github_publish\hardware-adaptive-qec-ibm,IBM real shots; correlated/drift; domain/held-out,measured artifact,rejected,Version V9 retained with original matrix fields; no missing fields were inferred.
V10,G1_MLP_CNN_legacy,MWPM/PyMatching; graph/DEM; calibration/drift; postselection/gate,hard syndrome; calibration/backend metadata,IBM real shots; domain/held-out,20260717/,+1.3600 pp,"= 0 else ""Z"") + str(rounds)",unavailable,unavailable,unavailable,unavailable,C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_crossblock_v3_20260715\evaluate_multiday_v10.py; C:\Users\22228049\.codex\qec_work\wolffe_archive_20260730\extracted\home\22228049\qec_v13_crossdomain_20260717\build_v13_lodo_v10_data.py,Strong confirmed relational foundation retained inside V12.,Test the relational foundation with prospective paired predictions.,normal,not a V12 comparison,MWPM/BP-OSD comparator only when explicitly present; no claim if unavailable,early audit; ,,,,,,,,QEC_RUN_MATRIX_V1_V392_20260731.csv,Z:\Meetings\Complete\22-7-2026\QEC_AI_PAPER_MASTER_20260717,C:\Users\22228049\.codex\github_publish\hardware-adaptive-qec-ibm,IBM real shots; domain/held-out,audit or unavailable,promoted,Version V10 retained with original matrix fields; no missing fields were inferred.
